season,season_type,week,scope,threshold,player_name,player_gsis_id,player_display_name,player_short_name,player_esb_id,player_position_group,player_position,player_jersey_number,player_current_team_id,player_season,player_gsis_it_id,player_smart_id,player_first_name,player_last_name,player_football_name,player_ngs_position,player_ngs_position_group,player_uniform_number,player_status,player_headshot,position,team_id,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_season_type,player_week
2022,REG,8,week,5,Gabe Davis,00-0036196,Gabe Davis,G.Davis,DAV329675,WR,WR,13,0610,2022,52536,32004441-5632-9675-38f5-3e009da4e98e,Gabriel,Davis,Gabe,WR,WR,13,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/gybdtwydpj0rggczumgg,WR,0610,7.454285714285715,3.118401267207389,13.38,28.496668390787118,2,7,28.57142857142857,35,0,10.344999999999999,8.126971297476302,2.2180287025236964,REG,8
2022,REG,8,week,5,D.J. Moore,00-0034827,D.J. Moore,D.Moore,MOO272423,WR,WR,2,0750,2022,46093,32004d4f-4f27-2423-f0b4-728a741b03cb,Denniston,Moore,D.J.,WR,WR,02,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/yy6o0pkengsmm6dox1wy,WR,0750,6.121818181818182,2.291415054965655,22.352727272727275,56.717106477209825,6,11,54.54545454545454,152,1,5.795000000000002,5.456015832351723,0.3389841676482783,REG,8
2022,REG,8,week,5,Laviska Shenault,00-0036268,Laviska Shenault,L.Shenault,SHE458893,WR,WR,15,0750,2022,52450,32005348-4545-8893-4e8b-5724302de088,Laviska,Shenault,Laviska,SLOT_WR,WR,15,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/q5wvq22iqxiw9lyjemxy,WR,0750,9.183333333333334,3.9203652428179088,1.4583333333333333,2.0183613212769886,5,6,83.33333333333334,26,0,6.74,5.632187459504076,1.1078125404959245,REG,8
2022,REG,8,week,5,Terrace Marshall,00-0036955,Terrace Marshall,T.Marshall,MAR482288,WR,WR,88,0750,2022,53488,32004d41-5248-2288-c0d9-2d0813ce7c88,Terrace,Marshall,Terrace,WR,WR,88,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/azlfs3xbnfr3deksqvua,WR,0750,3.0155555555555553,2.523020924777561,10.212222222222222,21.200867318693486,4,9,44.44444444444444,87,0,12.172500000000001,6.521785814841453,5.650714185158548,REG,8
2022,REG,8,week,5,Dante Pettis,00-0034860,Dante Pettis,D.Pettis,PET735981,WR,WR,18,0810,2022,46113,32005045-5473-5981-8eda-5f27db81c106,Dante,Pettis,Dante,WR,WR,18,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/j35nhxhisutf6pz38fzs,WR,0810,8.287500000000001,4.552589596235365,7.267999999999999,17.79192166462668,4,5,80.0,18,0,1.2049999999999992,2.606435505013561,-1.4014355050135618,REG,8
2022,REG,8,week,5,Darnell Mooney,00-0036309,Darnell Mooney,D.Mooney,MOO076900,WR,WR,11,0810,2022,52581,32004d4f-4f07-6900-2883-f3ddae0181d4,Darnell,Mooney,Darnell,WR,WR,11,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/fdnosrx5gylbgeuf6m4r,WR,0810,6.664,5.555561535716593,5.3,12.974296205630356,5,5,100.0,70,0,8.7,7.531288826082937,1.1687111739170621,REG,8
2022,REG,8,week,5,Tyler Boyd,00-0033009,Tyler Boyd,T.Boyd,BOY378353,WR,WR,83,0920,2022,43344,3200424f-5937-8353-b941-dfa7122ba16b,Tyler,Boyd,Tyler,SLOT_WR,WR,83,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/kzzhrm9gbefdpobngtzq,WR,0920,4.6259999999999994,3.3370145349237412,11.495999999999999,30.367709213863066,3,5,60.0,38,1,2.163333333333336,1.3473927397341185,0.8159405935992177,REG,8
2022,REG,8,week,5,Tee Higgins,00-0036410,Tee Higgins,T.Higgins,HIG387791,WR,WR,85,0920,2022,52441,32004849-4738-7791-9f89-d556c4b59b9a,Tamaurice,Higgins,Tee,WR,WR,85,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/m8i5zbmmhqku4zsul3vj,WR,0920,4.858333333333333,2.288649351458908,12.934999999999997,41.00274725274725,3,6,50.0,49,1,4.100000000000001,1.440046210447477,2.6599537895525245,REG,8
2022,REG,8,week,5,Amari Cooper,00-0031544,Amari Cooper,A.Cooper,COO487703,WR,WR,2,1050,2022,42347,3200434f-4f48-7703-16a5-c78426109031,Amari,Cooper,Amari,WR,WR,02,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/zibbxjtein7gpu5zgcj4,WR,1050,4.304285714285714,2.346341001253285,18.009999999999998,57.18238309066993,5,7,71.42857142857143,131,1,7.032000000000001,7.777280267823724,-0.7452802678237234,REG,8
2022,REG,8,week,5,Dalton Schultz,00-0034383,Dalton Schultz,D.Schultz,SCH647271,TE,TE,86,1200,2022,46206,32005343-4864-7271-8c9c-893e6cc8875d,Dalton,Schultz,Dalton,TE,TE,86,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/mbqinxum5qovm6p8xgkc,TE,1200,8.978,3.191616812559217,8.272857142857143,29.618453355155488,6,7,85.71428571428571,74,0,3.9466666666666668,2.692236671166711,1.2544299954999558,REG,8
