season,season_type,week,scope,threshold,player_name,player_gsis_id,player_display_name,player_esb_id,player_position_group,player_position,player_jersey_number,player_current_team_id,player_season,player_smart_id,player_first_name,player_last_name,player_football_name,player_suffix,player_status,player_headshot,position,team_id,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_short_name,player_ngs_position,player_ngs_position_group,player_gsis_it_id,player_season_type,player_week
2016,REG,7,week,5,Erik Swoope,00-0030854,Erik Swoope,SWO288111,TE,TE,86,2200,2016,32005357-4f28-8111-2f8c-57931ac036e2,Erik,Swoope,Erik,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/lgucz1buzapjyv92e7tj,TE,2200,4.99,2.1906583371000345,13.038,16.301575393848463,2,5,40.0,51,0,9.165,11.159656882285,-1.9946568822850015,E.Swoope,TE,TE,,REG,7
2016,REG,7,week,5,Julius Thomas,00-0028067,Julius Thomas,THO265401,TE,TE,80,2250,2016,32005448-4f26-5401-7b32-4c1e755e81a5,Julius,Thomas,Julius,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ephrfopvlebj4fdcl67a,TE,2250,6.486,2.5013522749648907,6.985714285714285,13.909036607219047,3,7,42.857142857142854,20,1,1.490000000000002,2.1514460245766664,-0.6614460245766645,J.Thomas,TE,WR,37204,REG,7
2016,REG,7,week,5,Allen Hurns,00-0030821,Allen Hurns,HUR436342,WR,WR,88,2250,2016,32004855-5243-6342-a061-156e2eb1ca31,Allen,Hurns,Allen,III,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ht8yxzhw0gb3pfqbmzdp,WR,2250,7.218571428571429,2.9178992347469483,7.049999999999999,14.037033876610632,4,7,57.14285714285714,45,0,4.924999999999999,7.1768071651425,-2.251807165142501,A.Hurns,SLOT_WR,WR,41659,REG,7
2016,REG,7,week,5,Allen Robinson,00-0031428,Allen Robinson,ROB365982,WR,WR,15,2250,2016,3200524f-4236-5982-45ce-8ca18ca03af8,Allen,Robinson,Allen,II,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/bk03jfsdlx66m3z22qqi,WR,2250,5.79375,1.1466457195178807,12.548749999999998,28.554768609380776,2,8,25.0,9,0,0.18499999999999872,1.516326546665,-1.3313265466650013,A.Robinson,WR,WR,41290,REG,7
2016,REG,7,week,5,Marqise Lee,00-0031431,Marqise Lee,LEE466282,WR,WR,11,2250,2016,32004c45-4546-6282-baae-dd48c42a2f01,Marqise,Lee,Marqise,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/drsesqqzwhkilsx51j4i,WR,2250,5.91875,2.7794882741106846,8.331249999999999,18.95781778877606,7,8,87.5,107,0,9.047142857142857,8.084458044581428,0.9626848125614291,M.Lee,WR,WR,41268,REG,7
2016,REG,7,week,5,Jeremy Maclin,00-0026995,Jeremy Maclin,MAC710352,WR,WR,19,2310,2016,32004d41-4371-0352-e57d-251eacb121bd,Jeremy,Maclin,Jeremy,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/tvlsuugnbn0idb0tbtgw,WR,2310,5.08,2.0201477326293498,13.86,31.066481373559863,4,5,80.0,40,0,0.7975000000000012,3.732427477835,-2.9349274778349987,J.Maclin,WR,WR,34470,REG,7
2016,REG,7,week,5,Kenny Britt,00-0027006,Kenny Britt,BRI708216,WR,WR,18,2510,2016,32004252-4970-8216-a6b0-0e0e18a81e19,Kenneth,Britt,Kenny,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/joozpvuyykyxjogcg3r5,WR,2510,5.686249999999999,2.6845304832252963,18.685,30.224235194209104,3,8,37.5,43,0,4.419999999999997,4.43200182916,-0.012001829160002586,K.Britt,WR,WR,34481,REG,7
2016,REG,7,week,5,Lance Kendricks,00-0027985,Lance Kendricks,KEN102780,TE,TE,88,2510,2016,32004b45-4e10-2780-916e-feb59968d9c4,Lance,Kendricks,Lance,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/njjeo5udwowpbfnufl5l,TE,2510,5.53625,1.9410485426571051,3.361111111111112,6.116424368643469,7,9,77.77777777777779,55,0,3.5842857142857127,4.031904871979714,-0.4476191576940014,L.Kendricks,TE,TE,37122,REG,7
2016,REG,7,week,5,Brian Quick,00-0029640,Brian Quick,QUI043372,WR,WR,83,2510,2016,32005155-4904-3372-c81b-5dab4da43909,Brian,Quick,Brian,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/tayczwuhluj2hyrva3cp,WR,2510,5.805000000000001,2.4667916860047234,18.82888888888889,34.26410821521726,4,9,44.44444444444444,92,0,2.282499999999999,4.624580323695,-2.3420803236950007,B.Quick,WR,WR,38563,REG,7
2016,REG,7,week,5,Tavon Austin,00-0030525,Tavon Austin,AUS659596,WR,WR,11,2510,2016,32004155-5365-9596-bbdf-d25a79b68eaf,Tavon,Austin,Tavon,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/zlldmz6p1kcwhrdvy5ob,WR,2510,7.535000000000001,4.090374102213658,5.7846666666666655,17.544533635279123,10,15,66.66666666666666,57,1,5.513000000000002,5.724176180359,-0.211176180358998,T.Austin,SLOT_WR,WR,39954,REG,7
