season,season_type,week,scope,threshold,player_name,player_gsis_id,player_display_name,player_short_name,player_esb_id,player_position_group,player_position,player_jersey_number,player_current_team_id,player_season,player_gsis_it_id,player_smart_id,player_first_name,player_last_name,player_football_name,player_ngs_position,player_ngs_position_group,player_uniform_number,player_status,player_headshot,position,team_id,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_suffix,player_season_type,player_week
2019,POST,20,week,5,Adam Humphries,00-0032009,Adam Humphries,A.Humphries,HUM721507,WR,WR,10,2100,2019,43010,32004855-4d72-1507-4b02-e4f7666b5805,Adam,Humphries,Adam,SLOT_WR,WR,10,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/k0vkjiqxo1qntcqye1p3,WR,2100,5.296666666666667,2.313334398357337,6.535999999999999,11.870686523792227,4,5,80.0,25,0,1.2600000000000016,2.6963682195796537,-1.436368219579652,,POST,20
2019,POST,20,week,5,Corey Davis,00-0033871,Corey Davis,C.Davis,DAV247957,WR,WR,84,2100,2019,44817,32004441-5624-7957-ef31-0e38b3301e4b,Corey,Davis,Corey,WR,WR,84,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/bvc0v713yjjeq5pvlep4,WR,2100,6.282500000000001,3.585994293198118,10.844999999999999,31.514711224119146,5,8,62.5,65,0,4.984,3.749683858501541,1.234316141498459,,POST,20
2019,POST,20,week,5,A.J. Brown,00-0035676,A.J. Brown,A.Brown,BRO413223,WR,WR,11,2100,2019,47834,32004252-4f41-3223-e4c5-1e30dffa87f8,Arthur,Brown,A.J.,WR,WR,11,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ucz9frks91kdccmgkkct,WR,2100,3.122,2.7234200671591045,9.984999999999998,21.761714493280056,3,6,50.0,51,0,8.520000000000003,4.025160658709676,4.494839341290327,,POST,20
2019,POST,20,week,5,Sammy Watkins,00-0031325,Sammy Watkins,S.Watkins,WAT270480,WR,WR,14,2310,2019,41230,32005741-5427-0480-637c-854aaf86ba0e,Samuel,Watkins,Sammy,WR,WR,14,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/njpkvqr7lmjsc5hccdcr,WR,2310,8.125,3.436368192366912,10.682,42.375436369406536,7,10,70.0,114,1,3.817142857142855,5.057731562515536,-1.240588705372681,IV,POST,20
2019,POST,20,week,5,Tyreek Hill,00-0033040,Tyreek Hill,T.Hill,HIL628694,WR,WR,10,2310,2019,43454,32004849-4c62-8694-8490-45499711dee4,Tyreek,Hill,Tyreek,SLOT_WR,WR,10,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/daheq1ssy3lui6kxtudq,WR,2310,4.968571428571429,3.451997508665928,11.611428571428572,32.24373214852427,5,7,71.42857142857143,67,2,3.816000000000001,3.6071891777119958,0.2088108222880054,,POST,20
2019,POST,22,week,5,Travis Kelce,00-0030506,Travis Kelce,T.Kelce,KEL012458,TE,TE,87,2310,2019,40011,32004b45-4c01-2458-b7b6-3a14cdb414dd,Travis,Kelce,Travis,TE,WR,87,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/n0gfqddteoputgezwl0k,TE,2310,5.116,2.5388100883464926,5.8450000000000015,11.991383437051221,6,6,100.0,43,1,2.4549999999999983,1.8983902782696305,0.5566097217303678,,POST,22
2019,POST,22,week,5,Sammy Watkins,00-0031325,Sammy Watkins,S.Watkins,WAT270480,WR,WR,14,2310,2019,41230,32005741-5427-0480-637c-854aaf86ba0e,Samuel,Watkins,Sammy,WR,WR,14,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/njpkvqr7lmjsc5hccdcr,WR,2310,4.042,4.497216684356331,14.300000000000002,29.33734527798673,5,6,83.33333333333334,98,0,4.833999999999998,4.769474777879123,0.06452522212087519,IV,POST,22
2019,POST,22,week,5,Tyreek Hill,00-0033040,Tyreek Hill,T.Hill,HIL628694,WR,WR,10,2310,2019,43454,32004849-4c62-8694-8490-45499711dee4,Tyreek,Hill,Tyreek,WR,WR,10,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/daheq1ssy3lui6kxtudq,WR,2310,7.16125,3.6340126623881406,9.914375000000001,54.23989605416125,9,16,56.25,105,0,3.2122222222222216,4.114062185850697,-0.9018399636284755,,POST,22
2019,POST,22,week,5,Emmanuel Sanders,00-0027685,Emmanuel Sanders,E.Sanders,SAN295989,WR,WR,17,4500,2019,35521,32005341-4e29-5989-16d2-05d6a07248e9,Emmanuel,Sanders,Emmanuel,WR,WR,17,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/r6ebggjkzsl1lt3w5ano,WR,4500,4.6979999999999995,2.1209221051804787,18.502000000000002,38.29056291390729,3,5,60.0,38,0,0.8299999999999983,2.5294595947599796,-1.6994595947599813,,POST,22
2019,POST,22,week,5,George Kittle,00-0033288,George Kittle,G.Kittle,KIT388290,TE,TE,85,4500,2019,44959,32004b49-5438-8290-eeed-c9c9cca62ec1,George,Kittle,George,TE,TE,85,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/n5dvz5zxymahzxnl4cq3,TE,4500,8.345,4.8357138166107605,3.615714285714287,10.475993377483448,4,7,57.14285714285714,36,0,6.482499999999998,6.542237085841052,-0.05973708584105353,,POST,22
2019,POST,22,week,5,Deebo Samuel,00-0035719,Deebo Samuel,D.Samuel,SAM636097,WR,WR,19,4500,2019,47819,32005341-4d63-6097-eab1-34810e00be67,Tyshun,Samuel,Deebo,WR,WR,19,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/lo27cc8jxyof165cquiw,WR,4500,4.464285714285714,3.0442151244206683,7.5200000000000005,28.01324503311259,5,9,55.55555555555556,39,0,6.395999999999999,6.147380952989624,0.24861904701037485,,POST,22
2019,PRE,0,season,10,Devin Gray,00-0034141,Devin Gray,D.Gray,GRA645548,WR,WR,15,0200,2019,46403,32004752-4164-5548-6512-a1976f5dd889,Devin,Gray,Devin,WR,WR,,DEV,https://static.www.nfl.com/image/private/{formatInstructions}/league/v8wiuhhbjouitpxnfq8p,WR,0200,3.8923076923076922,1.5574891157104707,16.57384615384615,19.906684529034045,6,13,46.15384615384615,103,0,1.3783333333333327,3.7929401844739914,-2.4146068511406584,,,
2019,PRE,0,season,10,Jaeden Graham,00-0034788,Jaeden Graham,J.Graham,GRA199272,TE,TE,87,0200,2019,46959,32004752-4119-9272-d01a-e4b62d9ea10c,Jaeden,Graham,Jaeden,TE,TE,87,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ciragd5xgdhw59tnflwg,TE,0200,4.555714285714286,2.9160646263258974,6.713076923076924,8.063011040790874,10,13,76.92307692307693,105,0,4.048999999999999,5.019230508804322,-0.970230508804323,,,
2019,PRE,0,season,10,C.J. Worton,00-0035206,C.J. Worton,C.Worton,WOR773442,WR,WR,7,0200,2019,48372,3200574f-5277-3442-c782-a05a8fa7d5a4,C.J.,Worton,C.J.,WR,WR,,CUT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ekcyvo5kbrrnw40r0udo,WR,0200,5.369,2.656645711214662,10.629999999999999,10.803344574305909,6,11,54.54545454545454,81,0,5.798333333333332,6.243151326974233,-0.4448179936409007,,,
