season,season_type,week,game_id,play_id,team_id,team_abbr,play_game_key,play_sequence,play_description,play_type_code,play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_goal_to_go,play_is_end_quarter,play_home_score,play_visitor_score,play_direction,play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_health_player_tracking_is_ok,play_health_ball_tracking_is_ok,play_is_change_of_possession
2018,REG,4,2018093005,2872,2250,JAX,57621,2872,"(3:47) (Shotgun) B.Bortles pass deep right to D.Moncrief for 67 yards, TOUCHDOWN.",2,play_type_pass,3,2,12,2250,03:47,JAX 33,33,JAX,77,2018-09-30T19:13:06.000Z,false,false,true,false,false,24,3,left,APPROVED,18,3,true,,,
2018,REG,4,2018093006,1120,3200,NE,57622,1120,"(12:11) (Shotgun) T.Brady pass deep left to C.Patterson for 55 yards, TOUCHDOWN. NE 12-Brady 70th different career TD target, ties NFL record (Testaverde).",2,play_type_pass,2,3,6,3200,12:11,NE 45,45,NE,55,2018-09-30T17:46:27.000Z,false,false,true,false,false,9,0,right,APPROVED,3,0,true,,,
2018,REG,4,2018093009,364,2520,OAK,57625,364,"(10:11) (Shotgun) B.Mayfield pass short left intended for A.Callaway INTERCEPTED by G.Conley at CLV 36. G.Conley for 36 yards, TOUCHDOWN.",2,play_type_pass,1,2,8,1050,10:11,CLE 25,25,CLE,35,2018-09-30T20:19:42.000Z,false,false,true,false,false,6,0,right,APPROVED,0,0,true,,,
2018,REG,4,2018093010,2478,4400,LAC,57626,2478,(9:00) (Shotgun) C.Beathard pass short left intended for G.Celek INTERCEPTED by T.Williams at LAC 2. T.Williams to SF 12 for 86 yards (P.Garcon).,2,play_type_pass,3,1,8,4500,09:00,LAC 8,8,LAC,102,2018-09-30T22:22:22.000Z,false,false,false,true,false,23,17,right,APPROVED,23,17,true,,,
2018,REG,4,2018093011,3806,3300,NO,57627,3806,"(2:16) A.Kamara right guard for 49 yards, TOUCHDOWN.",2,play_type_rush,4,1,10,3300,02:16,NYG 49,49,NYG,61,2018-09-30T23:14:12.000Z,false,false,true,false,false,18,32,right,APPROVED,18,26,true,,,
2018,REG,5,2018100701,1468,3410,NYG,57632,1468,"(6:48) O.Beckham pass deep right to S.Barkley for 57 yards, TOUCHDOWN.",2,play_type_pass,2,2,18,3410,06:48,NYG 43,43,NYG,67,2018-10-07T18:09:40.000Z,false,false,true,false,false,17,9,left,APPROVED,17,3,true,true,true,
2018,REG,5,2018100701,3474,3410,NYG,57632,3474,"(8:16) E.Manning pass deep right to O.Beckham for 33 yards, TOUCHDOWN. Penalty on CAR-L.Kuechly, Illegal Contact, declined.",2,play_type_pass,4,2,9,3410,08:16,CAR 33,33,CAR,77,2018-10-07T19:47:25.000Z,false,false,true,false,false,27,22,right,APPROVED,27,16,true,,,
2018,REG,5,2018100702,1828,2700,MIA,57633,1828,"(:40) K.Huber punts 50 yards to MIA 29, Center-C.Harris. J.Grant pushed ob at CIN 2 for 69 yards (C.Core). The Replay Official reviewed the runner was out of bounds ruling, and the play was REVERSED. K.Huber punts 50 yards to MIA 29, Center-C.Harris. J.Grant for 71 yards, TOUCHDOWN.",2,play_type_punt,2,4,6,0920,00:40,CIN 21,21,CIN,89,2018-10-07T18:17:20.000Z,true,false,true,false,false,0,7,left,APPROVED,0,7,true,,,
2018,REG,5,2018100706,959,3430,NYJ,57637,959,"(13:59) I.Crowell left end for 77 yards, TOUCHDOWN.",2,play_type_rush,2,1,10,3430,13:59,NYJ 23,23,NYJ,87,2018-10-07T17:40:24.000Z,false,false,true,false,false,6,7,left,APPROVED,0,7,true,,,
2018,REG,5,2018100706,1174,3430,NYJ,57637,1174,"(10:57) (Shotgun) S.Darnold pass deep left to R.Anderson for 76 yards, TOUCHDOWN.",2,play_type_pass,2,3,9,3430,10:57,NYJ 24,24,NYJ,86,2018-10-07T17:52:18.000Z,false,false,true,false,false,13,7,left,APPROVED,7,7,true,,,
