season,season_type,week,scope,threshold,team_id,player_gsis_id,player_display_name,player_esb_id,player_position_group,player_position,player_current_team_id,player_season,player_smart_id,player_first_name,player_last_name,player_football_name,player_status,player_headshot,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,player_short_name,player_jersey_number,player_gsis_it_id,player_ngs_position,player_ngs_position_group,player_suffix,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,player_season_type,player_week
2016,PRE,0,season,20,0920,00-0032540,Tra Carson,CAR594837,RB,RB,0920,2016,32004341-5259-4837-927b-ca787fe79a45,Latravion,Carson,Tra,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/cpbomacc0snqelgvpz58,6.989176470588233,8.571428571428571,3.343,35,85,2.4285714285714284,0,,39,43660,,,,,,,,,
2016,PRE,0,season,20,1050,00-0030656,Isaiah Crowell,CRO734794,RB,RB,1050,2016,32004352-4f73-4794-4e0a-a192aa40d05c,Isaiah,Crowell,Isaiah,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/oruiw5myfimtssv6j2ar,4.596973684210527,4.545454545454546,2.5967857142857143,22,76,3.4545454545454546,1,I.Crowell,34,,RB,RB,,,,,,,
2016,PRE,0,season,20,1050,00-0033049,Darius Jackson,JAC120072,RB,RB,1050,2016,32004a41-4312-0072-16d9-08cdf91175a1,Darius,Jackson,Darius,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/bmanrbbyt4fi777iarsx,4.950151515151515,7.6923076923076925,2.877333333333333,39,132,3.3846153846153846,0,,35,,,,,,,,,,
2016,PRE,0,season,20,1200,00-0029141,Alfred Morris,MOR317547,RB,RB,1200,2016,32004d4f-5231-7547-8630-5f186da119c2,Alfred,Morris,Alfred,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/igrm4hy4pishp4rdamin,3.279646017699115,4.761904761904762,2.3015555555555554,21,113,5.380952380952381,1,,46,38703,RB,RB,,,,,,,
2016,PRE,0,season,20,1400,00-0031102,Kapri Bibbs,BIB097874,RB,RB,1400,2016,32004249-4209-7874-fdaf-c251ca3826dd,Kapri,Bibbs,Kapri,RES,https://static.www.nfl.com/image/private/{formatInstructions}/league/yvqplagyljhiso4imgiq,4.08144927536232,0.0,2.763380952380953,33,138,4.181818181818182,0,K.Bibbs,35,,RB,RB,,,,,,,
2016,PRE,0,season,20,1400,00-0032972,Devontae Booker,BOO019902,RB,RB,1400,2016,3200424f-4f01-9902-c146-57fda0468e8d,Devontae,Booker,Devontae,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ls859blqxjix8vayjwr7,5.285333333333332,9.523809523809524,2.4821874999999998,21,60,2.857142857142857,0,D.Booker,23,43425,RB,RB,,,,,,,
2016,PRE,0,season,20,1800,00-0030432,Christine Michael,MIC066214,RB,RB,1800,2016,32004d49-4306-6214-d90e-b7836060961d,Christine,Michael,Christine,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/qlysbozgkexeoohnqrvz,3.0128025477707006,19.230769230769234,2.275416666666666,26,157,6.038461538461538,0,C.Michael,32,,RB,RB,,,,,,,
2016,PRE,0,season,20,1800,00-0030485,Eddie Lacy,LAC702361,RB,RB,1800,2016,32004c41-4370-2361-5439-ef33ee80b4df,Eddie,Lacy,Eddie,RES,https://static.www.nfl.com/image/private/{formatInstructions}/league/ckn4luxcj2oc2c24fh7i,3.3307894736842103,20.0,2.49905,20,114,5.7,1,,27,,RB,RB,Jr.,,,,,,
2016,PRE,0,season,20,1800,00-0031826,John Crockett,CRO028230,RB,RB,1800,2016,32004352-4f02-8230-4f63-e27e77224e50,John,Crockett,John,RES,https://static.www.nfl.com/image/private/{formatInstructions}/league/t3urtfod8890lrutmglh,4.476966292134831,8.0,2.438272727272727,25,89,3.56,1,,38,,,,,,,,,,
2016,PRE,0,season,20,1800,00-0032612,Brandon Ross,ROS555352,RB,RB,1800,2016,3200524f-5355-5352-e863-a7e8a93f40fb,Brandon,Ross,Brandon,CUT,,11.089444444444446,28.000000000000004,2.8149999999999995,25,36,1.44,0,,46,,,,,,,,,,
2016,PRE,0,season,20,2100,00-0030789,Antonio Andrews,AND650999,RB,RB,2100,2016,3200414e-4465-0999-f415-78a6433db8e2,Antonio,Andrews,Antonio,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/wwy4g14dflaelkretfzv,3.6726829268292684,28.57142857142857,2.2361250000000004,21,82,3.9047619047619047,2,A.Andrews,26,41627,RB,RB,,,,,,,
2016,PRE,0,season,20,2100,00-0032764,Derrick Henry,HEN602843,RB,RB,2100,2016,32004845-4e60-2843-9b64-3cd8fac319c3,Derrick,Henry,Derrick,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/vygpdc31jwc0zrusaeg5,2.8674537037037036,38.23529411764706,2.348193548387097,34,216,6.352941176470588,3,D.Henry,22,43334,RB,RB,Jr.,,,,,,
2016,PRE,0,season,20,2120,00-0031625,Kenny Hilliard,HIL719831,RB,RB,2120,2016,32004849-4c71-9831-c364-d5ae91d8774f,Kenny,Hilliard,Kenny,DEV,https://static.www.nfl.com/image/private/{formatInstructions}/league/gab34sjmlnjpkluufejb,5.14051094890511,5.88235294117647,2.3421764705882353,51,137,2.6862745098039214,0,,,,,,,,,,,,
2016,PRE,0,season,20,2120,00-0031743,Akeem Hunt,HUN095764,RB,RB,2120,2016,32004855-4e09-5764-d95c-559a8d4e4316,Akeem,Hunt,Akeem,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/mjsxqeuw6ng12xa1z4zy,6.040697674418604,0.0,2.957642857142857,30,86,2.8666666666666667,1,A.Hunt,33,,RB,RB,,,,,,,
2016,PRE,0,season,20,2250,00-0029048,Joe Banyard,BAN826315,RB,RB,2250,2016,32004241-4e82-6315-fac7-9a972e626594,Joe,Banyard,Joe,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/lfs1r2hsxdjmhp57mjvw,3.9823478260869565,0.0,2.627125,28,115,4.107142857142857,1,J.Banyard,36,,RB,RB,,,,,,,
2016,PRE,0,season,20,2250,00-0029612,Daryl Richardson,RIC404335,RB,RB,2250,2016,32005249-4340-4335-e751-53bb07ab40bd,Daryl,Richardson,Daryl,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/taqrenf1eqcvd1nibre5,5.140806451612904,7.6923076923076925,2.8443181818181817,39,124,3.1794871794871793,1,,,,WR,RB,,,,,,,
2016,PRE,0,season,20,2250,00-0032298,Bronson Hill,HIL102508,RB,RB,2250,2016,32004849-4c10-2508-a562-8142888f42f2,Bronson,Hill,Bronson,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/plws0l63xcalmdkv9wwb,6.926851851851851,5.0,3.28425,20,54,2.7,0,B.Hill,34,,RB,RB,,,,,,,
2016,PRE,0,season,20,2310,00-0030280,Knile Davis,DAV514200,RB,RB,2310,2016,32004441-5651-4200-4a31-feed990c4da9,Knile,Davis,Knile,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/iyq9jy1o5g05fdvqftez,5.239705882352941,7.142857142857142,3.1544999999999996,28,102,3.642857142857143,1,,34,40044,RB,RB,,,,,,,
2016,PRE,0,season,20,2310,00-0030414,Spencer Ware,WAR371408,RB,RB,2310,2016,32005741-5237-1408-8eeb-d6f0ad5c88fe,Spencer,Ware,Spencer,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/qr04afpcu3fqpgxnws6t,3.9612941176470584,20.833333333333336,2.587217391304348,24,85,3.5416666666666665,3,S.Ware,32,40142,RB,RB,III,,,,,,
2016,PRE,0,season,20,2310,00-0031123,Darrin Reaves,REA660089,RB,RB,2310,2016,32005245-4166-0089-4356-fd540d9c6ab8,Darrin,Reaves,Darrin,DEV,,4.403125000000002,2.564102564102564,2.691,39,144,3.6923076923076925,2,,24,,,,,,,,,,
2016,PRE,0,season,20,2510,00-0031806,Malcolm Brown,BRO550137,RB,RB,2510,2016,32004252-4f55-0137-a08a-164e95f5f50c,Malcolm,Brown,Malcolm,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/saroibi2giakpauwanjg,3.081870967741935,22.22222222222222,2.404538461538461,27,155,5.7407407407407405,0,M.Brown,39,42837,RB,RB,,,,,,,
2016,PRE,0,season,20,2510,00-0032672,Aaron Green,GRE034007,RB,RB,2510,2016,32004752-4503-4007-ec1e-d233f5cd3519,Aaron,Green,Aaron,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/anslkst49vnkun4o3qbh,3.1979279279279282,4.3478260869565215,2.5416,23,111,4.826086956521739,1,,36,43792,RB,RB,,,,,,,
2016,PRE,0,season,20,2520,00-0032940,DeAndre Washington,WAS000000,RB,RB,2520,2016,32005741-5300-0000-c099-0198d3a23e0a,DeAndre,Washington,DeAndre,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/r89dcprs99qahleja3mz,4.239916666666666,6.25,2.6322105263157893,32,120,3.75,0,D.Washington,33,,RB,RB,,,,,,,
2016,PRE,0,season,20,2700,00-0028000,Daniel Thomas,THO092066,RB,RB,2700,2016,32005448-4f09-2066-9530-a971bf7af191,Daniel,Thomas,Daniel,CUT,,4.839615384615384,6.25,2.5457499999999995,32,104,3.25,1,,30,,,,,,,,,,
2016,PRE,0,season,20,2700,00-0030874,Damien Williams,WIL206455,RB,RB,2700,2016,32005749-4c20-6455-63c2-d08306a5df61,Damien,Williams,Damien,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ie8sxkfm8sme47nach2b,10.763999999999998,5.0,2.6719999999999997,20,35,1.75,2,D.Williams,26,,RB,RB,,,,,,,
2016,PRE,0,season,20,3000,00-0031376,Jerick McKinnon,MCK656764,RB,RB,3000,2016,32004d43-4b65-6764-e685-6b07f4dbac28,Jerick,McKinnon,Jerick,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/l1p3zh1dswzruankht4r,4.152941176470589,36.36363636363637,2.7681499999999994,22,85,3.8636363636363638,1,J.McKinnon,21,41325,RB,RB,,,,,,,
2016,PRE,0,season,20,3000,00-0032918,C.J. Ham,HAM006291,RB,RB,3000,2016,32004841-4d00-6291-f7a2-2bea51f90d48,C.J.,Ham,C.J.,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/tto8lg2p1v41csg8t7r1,4.6745,15.909090909090908,2.3486470588235293,44,140,3.1818181818181817,2,,30,43971,,,,,,,,,
2016,PRE,0,season,20,3200,00-0027325,LeGarrette Blount,BLO626278,RB,RB,3200,2016,3200424c-4f62-6278-90e7-1045a3f929f4,LeGarrette,Blount,LeGarrette,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/s3eilto1yi0yhoamvvo3,3.3339999999999996,32.0,2.29559090909091,25,115,4.6,2,L.Blount,29,,RB,RB,,,,,,,
2016,PRE,0,season,20,3200,00-0031190,Tyler Gaffney,GAF629685,RB,RB,3200,2016,32004741-4662-9685-8e38-9e660dbcfdf2,Tyler,Gaffney,Tyler,DEV,https://static.www.nfl.com/image/private/{formatInstructions}/league/xtjnqojhmwifwsobtukm,3.6832432432432425,14.705882352941178,2.6044444444444443,34,148,4.352941176470588,1,,,,,,,,,,,,
2016,PRE,0,season,20,3300,00-0026289,Tim Hightower,HIG784208,RB,RB,3300,2016,32004849-4778-4208-2f9d-5f142c52e750,Tim,Hightower,Tim,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/azokebvu5bctrltqy38r,5.159056603773585,25.0,2.36,20,53,2.65,0,T.Hightower,34,,RB,RB,,,,,,,
2016,PRE,0,season,20,3300,00-0027966,Mark Ingram,ING656964,RB,RB,3300,2016,3200494e-4765-6964-19af-4fbe814368d2,Mark,Ingram,Mark,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ky9yy9cme3vh3y58rj9w,5.488656716417909,25.0,2.45955,24,67,2.7916666666666665,2,M.Ingram,22,,RB,RB,Jr.,,,,,,
2016,PRE,0,season,20,3300,00-0032804,Daniel Lasco,LAS076669,RB,RB,3300,2016,32004c41-5307-6669-f088-9a95323a5fc9,Daniel,Lasco,Daniel,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/bqwslkxtdxyq5cihdvas,5.118421052631579,0.0,2.318,20,57,2.85,0,,36,,RB,RB,II,,,,,,
2016,PRE,0,season,20,3410,00-0030247,George Winn,WIN446439,RB,RB,3410,2016,32005749-4e44-6439-7746-efd6cb6cd934,George,Winn,George,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/bpqkhgre4v8qec7nnrov,7.401428571428573,43.47826086956522,2.654125,23,49,2.130434782608696,0,,44,,,,,,,,,,
