season,season_type,week,scope,threshold,team_id,player_gsis_id,player_display_name,player_short_name,player_esb_id,player_position_group,player_position,player_jersey_number,player_current_team_id,player_season,player_gsis_it_id,player_smart_id,player_first_name,player_last_name,player_football_name,player_ngs_position,player_ngs_position_group,player_uniform_number,player_status,player_headshot,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,player_season_type,player_week
2021,POST,21,week,10,2510,00-0034845,Sony Michel,S.Michel,MIC517884,RB,RB,25,2510,2021,46100,32004d49-4351-7884-c6be-b720a5a54649,Sony,Michel,Sony,RB,RB,25,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/sge9qla3wyhfzemqaq5f,6.571875000000001,0.0,2.817375,10,16,1.6,0,30.346264743526206,-14.346264743526206,-1.4346264743526205,0.2,POST,21
2021,POST,21,week,10,2510,00-0036414,Cam Akers,C.Akers,AKE415291,RB,RB,23,2510,2021,52460,3200414b-4541-5291-73e4-84e805a9ffce,Cam,Akers,Cam,RB,RB,23,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/v4mc7guudoifyi2z1ag0,4.653333333333333,0.0,3.2715384615384617,13,48,3.6923076923076925,0,52.008189186964664,-4.008189186964664,-0.308322245151128,0.38461538461538464,POST,21
2021,POST,21,week,10,4500,00-0036567,Elijah Mitchell,E.Mitchell,MIT257014,RB,RB,25,4500,2021,53623,32004d49-5425-7014-1099-952db785e3db,Elijah,Mitchell,Elijah,RB,RB,25,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/csra0oiqwh6i2utjdlud,6.313,36.36363636363637,2.916,11,20,1.8181818181818181,0,30.010748416998183,-10.010748416998183,-0.9100680379089258,0.2727272727272727,POST,21
2021,POST,23,week,10,0920,00-0033897,Joe Mixon,J.Mixon,MIX564388,RB,RB,28,0920,2021,44860,32004d49-5856-4388-c611-05b6fcff1d1d,Joe,Mixon,Joe,RB,RB,28,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/pucb3gqsidpxzivdp9hd,3.6355555555555554,6.666666666666667,2.883866666666667,15,72,4.8,0,65.83281295892195,6.167187041078051,0.41114580273853674,0.4666666666666667,POST,23
2021,POST,23,week,10,2510,00-0036414,Cam Akers,C.Akers,AKE415291,RB,RB,23,2510,2021,52460,3200414b-4541-5291-73e4-84e805a9ffce,Cam,Akers,Cam,RB,RB,23,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/v4mc7guudoifyi2z1ag0,9.107619047619048,0.0,3.0132222222222227,13,21,1.6153846153846154,0,37.53892940916445,-16.538929409164453,-1.2722253391664964,0.23076923076923078,POST,23
2021,PRE,0,season,15,0200,00-0036829,Caleb Huntley,C.Huntley,HUN820721,RB,RB,42,0200,2021,54042,32004855-4e82-0721-43b8-53d8acbdba2a,Caleb,Huntley,Caleb,RB,RB,42,RES,https://static.www.nfl.com/image/private/{formatInstructions}/league/b9turwvs94tzjpw7xpzo,3.346593406593407,25.0,2.6221176470588237,20,91,4.55,1,82.0947698793104,4.905230120689595,0.2581700063520839,0.21052631578947367,,
2021,PRE,0,season,15,0325,00-0035760,Jacques Patrick,J.Patrick,PAT244949,RB,RB,35,0325,2021,50963,32005041-5424-4949-c158-2b4e6545b5e3,Jacques,Patrick,Jacques,RB,RB,35,TRT,https://static.www.nfl.com/image/private/{formatInstructions}/league/c7akgryuyuxz7wok2qcf,3.7391025641025646,16.129032258064516,2.7613,31,156,5.032258064516129,1,141.88924616921796,14.110753830782045,0.4551856074445821,0.41935483870967744,,
2021,PRE,0,season,15,0325,00-0036457,Ty'Son Williams,T.Williams,WIL549673,RB,RB,34,0325,2021,53180,32005749-4c54-9673-99c6-3057efe2b9a6,Ty'Son,Williams,Ty'Son,RB,RB,34,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ucxy1zbyppgm62iyvrdr,3.256538461538461,29.166666666666668,2.9288181818181815,24,130,5.416666666666667,1,100.90362710090334,28.096372899096664,1.221581430395507,0.391304347826087,,
2021,PRE,0,season,15,0325,00-0036582,Nate McCrary,N.McCrary,MCC661285,RB,RB,47,0325,2021,53814,32004d43-4366-1285-84a5-03b0ecb458a7,Nate,McCrary,Nate,RB,RB,47,RES,https://static.www.nfl.com/image/private/{formatInstructions}/league/keywk7kutzxmshe8xzx9,4.22644171779141,26.190476190476193,3.1324390243902442,42,163,3.880952380952381,1,201.99030271263416,-38.99030271263416,-0.9283405407770038,0.2619047619047619,,
2021,PRE,0,season,15,0610,00-0033308,Matt Breida,M.Breida,BRE256819,RB,RB,22,0610,2021,45186,32004252-4525-6819-f4e3-f343a391cdbd,Matthew,Breida,Matt,RB,RB,22,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/gvidkdvfipoehupzghgj,4.822786885245901,6.25,2.9485333333333332,16,61,3.8125,0,76.56017220130407,-15.56017220130407,-0.9725107625815044,0.1875,,
