season,season_type,category,rank,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_goal_to_go,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_start_game_clock,play_end_game_clock,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_actual_yards_to_go,play_actual_yardline_for_first_down,play_health_player_tracking_is_ok,play_health_ball_tracking_is_ok,leader_player_name,leader_first_name,leader_last_name,leader_short_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_max_speed,leader_in_play_dist,leader_yards,leader_time,leader_season_avg,leader_team_avg
2023,REG,avg_yac_above_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,avg_yac_above_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,avg_yac_above_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,avg_yac_above_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,completion_pct_above_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,completion_pct_above_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,completion_pct_above_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,completion_pct_above_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,completion_pct_above_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,fastest_ball_carriers,1,2023113000,59353,501,501,"(7:37) (Shotgun) G.Smith pass deep middle to D.Metcalf for 73 yards, TOUCHDOWN.",2,play_type_pass,1,3,8,4600,07:37,SEA 27,27,SEA,37,2023-12-01T01:30:13.000Z,false,false,true,false,false,false,3,6,7:39,7:29,right,APPROVED,3,0,true,8.9,44.77,true,true,DK Metcalf,DeKaylin,Metcalf,D.Metcalf,00-0035640,MET363377,4600,SEA,14,WR,WR,13,https://static.www.nfl.com/image/upload/{formatInstructions}/league/kxql4sjfelubhxawu2zh,22.234090958499998,78.9,73,,,
2023,REG,fastest_ball_carriers,2,2023121003,59370,465,465,"(6:42) J.Browning pass short right to C.Brown for 54 yards, TOUCHDOWN.",2,play_type_pass,1,1,10,0920,06:42,CIN 46,46,CIN,56,2023-12-10T18:18:46.000Z,false,false,true,false,false,false,6,0,6:42,6:32,right,APPROVED,0,0,true,10.0,65.21,true,true,Chase Brown,Chase,Brown,C.Brown,00-0038597,BRO340581,0920,CIN,30,RB,RB,14,https://static.www.nfl.com/image/upload/{formatInstructions}/league/tch3y6jlj7khvyi9jg0c,22.050000049,76.98999999999995,54,,,
2023,REG,fastest_ball_carriers,3,2023100804,59242,1656,1656,(3:41) (Shotgun) T.Tagovailoa pass short right to T.Hill pushed ob at NYG 16 for 64 yards (X.McKinney).,2,play_type_pass,2,1,15,2700,03:41,MIA 20,20,MIA,90,2023-10-08T18:13:18.000Z,false,false,false,false,false,false,14,3,3:41,3:32,left,APPROVED,14,3,true,15.0,75.43,true,true,Tyreek Hill,Tyreek,Hill,T.Hill,00-0033040,HIL628694,2700,MIA,10,WR,WR,5,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gg73gnfivrn80oyqwazl,22.009090958,85.04999999999997,64,,,
2023,REG,fastest_ball_carriers,4,2023092405,59211,4045,4045,"(8:12) D.Achane left tackle for 67 yards, TOUCHDOWN.",2,play_type_rush,4,2,2,2700,08:12,MIA 33,33,MIA,43,2023-09-24T20:03:34.000Z,false,false,true,false,false,false,69,20,8:13,8:03,right,APPROVED,63,20,true,2.94,45.02,true,true,Devon Achane,Devon,Achane,D.Achane,00-0039040,ACH103822,2700,MIA,28,RB,RB,3,https://static.www.nfl.com/image/upload/{formatInstructions}/league/xk1xwio0bryfxo1ylweu,21.927272776000002,83.60000000000002,67,,,
2023,REG,fastest_ball_carriers,5,2023121011,59378,114,114,(13:42) (Shotgun) K.Turpin right end pushed ob at PHI 44 for 22 yards (D.Slay).,2,play_type_rush,1,3,1,1200,13:42,DAL 34,34,DAL,76,2023-12-11T01:24:21.000Z,false,false,false,false,false,false,0,0,13:43,13:37,left,APPROVED,0,0,true,0.8,75.24,true,true,Kavontae Turpin,Kavontae,Turpin,K.Turpin,00-0037801,TUR785436,1200,DAL,9,WR,WR,14,https://static.www.nfl.com/image/upload/{formatInstructions}/league/tayjlp1hgmm6rewgl1k4,21.906818230500004,52.16,22,,,
2023,REG,fastest_sacks,1,2023121100,59379,381,381,"(9:19) T.Tagovailoa to TEN 3 for -1 yards. FUMBLES, and recovers at TEN 4. T.Tagovailoa sacked at TEN 6 for -4 yards (J.Johnson). FUMBLES (J.Johnson) [J.Johnson], RECOVERED by TEN-T.McLendon at TEN 7.",2,play_type_sack,1,2,2,2700,09:19,TEN 2,2,TEN,12,2023-12-12T01:32:05.000Z,false,false,false,true,false,true,0,0,9:20,9:16,left,APPROVED,0,0,false,2.75,10.0,true,true,Jaleel Johnson,Jaleel,Johnson,J.Johnson,00-0033940,JOH321843,2100,TEN,94,DT,DL,14,https://static.www.nfl.com/image/private/{formatInstructions}/league/vyyem0liv7khzftzcihu,,,,1.702,1.702,4.3804693877551015
2023,REG,fastest_sacks,2,2023101510,59262,1265,1265,(11:14) (Shotgun) M.Stafford sacked at LA 23 for -7 yards (K.White).,2,play_type_sack,2,3,5,2510,11:14,LA 30,30,LA,80,2023-10-15T21:13:58.000Z,false,false,false,false,false,false,3,6,11:14,11:13,left,APPROVED,3,6,false,5.31,75.37,true,true,Kyzir White,Kyzir,White,K.White,00-0034375,WHI315792,3800,ARI,7,ILB,LB,6,https://static.www.nfl.com/image/upload/{formatInstructions}/league/n5sjtcxydtaszz7yeyqw,,,,1.968,4.404,5.122567567567568
2023,REG,fastest_sacks,3,2023122405,59403,1147,1147,"(12:52) (Shotgun) N.Mullens sacked at MIN 24 for -9 yards (B.Branch). FUMBLES (B.Branch) [B.Branch], touched at MIN 27, recovered by MIN-G.Bradbury at MIN 28.",2,play_type_sack,2,3,7,3000,12:52,MIN 33,33,MIN,77,2023-12-24T18:47:20.000Z,false,false,false,false,false,false,7,7,12:53,12:48,left,APPROVED,7,7,false,7.63,69.88,true,true,Brian Branch,Brian,Branch,B.Branch,00-0039141,BRA491198,1540,DET,32,SS,DB,16,https://static.www.nfl.com/image/upload/{formatInstructions}/league/zcri8hzscyasi2nhjdlk,,,,2.269,2.269,4.69302380952381
2023,REG,fastest_sacks,4,2023092401,59207,882,882,"(:38) (Shotgun) R.Tannehill sacked at CLV 27 for -7 yards (M.Garrett). FUMBLES (M.Garrett), touched at CLV 24, recovered by TEN-D.Henry at CLV 24.",2,play_type_sack,1,2,13,2100,00:38,CLE 20,20,CLE,30,2023-09-24T17:32:52.000Z,false,false,false,false,false,false,3,0,:39,:33,left,APPROVED,3,0,false,13.18,16.97,true,true,Myles Garrett,Myles,Garrett,M.Garrett,00-0033868,GAR528896,1050,CLE,95,DE,DL,3,https://static.www.nfl.com/image/upload/{formatInstructions}/league/y2d1lvpgfarfv76hjcqm,,,,2.269,4.0494,4.202814814814816
2023,REG,fastest_sacks,5,2023091707,59197,369,369,(8:14) (Shotgun) R.Tannehill sacked at TEN 48 for -6 yards (K.Murray).,2,play_type_sack,1,4,4,2100,08:14,LAC 46,46,LAC,64,2023-09-17T17:14:03.000Z,false,false,false,false,false,true,0,0,8:15,8:13,right,APPROVED,0,0,true,4.07,67.65,true,true,Kenneth Murray,Kenneth,Murray,K.Murray,00-0036441,MUR563490,4400,LAC,9,ILB,LB,2,https://static.www.nfl.com/image/upload/{formatInstructions}/league/up14o9gpznxgcvc5xtqh,,,,2.311,4.618666666666667,4.979520000000001
2023,REG,highest_separation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,highest_separation,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,highest_separation,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,highest_separation,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,highest_separation,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,longest_completions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,longest_completions,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,longest_completions,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,longest_completions,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,longest_completions,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,rush_yards_over_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,rush_yards_over_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,rush_yards_over_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,rush_yards_over_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,REG,rush_yards_over_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
