season,season_type,category,rank,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_health_player_tracking_is_ok,leader_player_name,leader_first_name,leader_last_name,leader_short_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_max_speed,leader_in_play_dist,leader_yards,leader_time,leader_season_avg,leader_team_avg,play_is_goal_to_go,play_actual_yards_to_go,play_actual_yardline_for_first_down,play_health_ball_tracking_is_ok,leader_suffix
2017,PRE,rush_yards_over_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,rush_yards_over_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,rush_yards_over_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PRE,rush_yards_over_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,avg_yac_above_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,avg_yac_above_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,avg_yac_above_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,avg_yac_above_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,avg_yac_above_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,completion_pct_above_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,completion_pct_above_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,completion_pct_above_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,completion_pct_above_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,completion_pct_above_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,fastest_ball_carriers,1,2017100807,57306,4020,4020,"(2:00) J.Wells reported in as eligible.  L.Fournette left tackle for 90 yards, TOUCHDOWN.",2,play_type_rush,4,3,2,2250,02:00,JAX 10,10,JAX,20,2017-10-08T19:58:14.000Z,false,false,true,false,false,9,29,right,APPROVED,9,23,true,true,Leonard Fournette,Leonard,Fournette,L.Fournette,00-0033856,FOU564970,2250,JAX,27,RB,RB,5,https://static.www.nfl.com/image/private/{formatInstructions}/league/atxppoc7zqcjnbnk0awz,22.050000049,100.82,90,,,,false,2.31,21.64,true,
2017,REG,fastest_ball_carriers,2,2017101508,57321,95,95,"(14:46) L.Fournette up the middle for 75 yards, TOUCHDOWN.",2,play_type_rush,1,1,10,2250,14:46,JAX 25,25,JAX,85,2017-10-15T20:08:23.000Z,false,false,true,false,false,6,7,left,APPROVED,0,7,true,true,Leonard Fournette,Leonard,Fournette,L.Fournette,00-0033856,FOU564970,2250,JAX,27,RB,RB,6,https://static.www.nfl.com/image/private/{formatInstructions}/league/atxppoc7zqcjnbnk0awz,21.763636412000004,90.16000000000001,75,,,,false,10.0,75.02,true,
2017,REG,fastest_ball_carriers,3,2017120400,57425,2656,2656,"R.Bullock kicks 61 yards from CIN 35 to PIT 4. M.Bryant for 96 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on PIT-J.Wilcox, Offensive Holding, 10 yards, enforced at PIT 26. {M.Bryant credited with 22 return yards due to the penalty}",32,play_type_kickoff,3,0,0,0920,03:33,CIN 35,35,CIN,45,2017-12-05T03:40:53.000Z,true,true,false,false,true,20,10,right,APPROVED,20,10,false,true,Martavis Bryant,Martavis,Bryant,M.Bryant,00-0031373,BRY499889,3900,PIT,10,WR,WR,13,https://static.www.nfl.com/image/private/{formatInstructions}/league/davxza3iibzg7aw6c5jm,21.722727321,119.98000000000005,22,,,,false,,,true,
2017,REG,fastest_ball_carriers,4,2017110507,57362,983,983,(1:38) C.Beathard pass deep right to M.Goodwin to ARZ 27 for 55 yards (T.Mathieu).,2,play_type_pass,1,1,10,4500,01:38,SF 18,18,SF,28,2017-11-05T21:43:06.000Z,false,false,false,false,false,0,7,right,APPROVED,0,7,true,true,Marquise Goodwin,Marquise,Goodwin,M.Goodwin,00-0030068,GOO681722,4500,SF,11,WR,WR,9,https://static.www.nfl.com/image/upload/{formatInstructions}/league/cof5bbih1o9dtnonwmjp,21.68181823,55.15000000000002,55,,,,false,10.0,37.5,true,
2017,REG,fastest_ball_carriers,5,2017120309,57420,4238,4238,"(:57) D.Henry left end for 75 yards, TOUCHDOWN. PENALTY on TEN-B.Jones, Taunting, 15 yards, enforced between downs.",2,play_type_rush,4,3,5,2100,00:57,TEN 25,25,TEN,35,2017-12-03T21:24:02.000Z,false,true,true,false,false,23,13,right,APPROVED,17,13,false,true,Derrick Henry,Derrick,Henry,D.Henry,00-0032764,HEN602843,2100,TEN,22,RB,RB,13,https://static.www.nfl.com/image/upload/{formatInstructions}/league/tm79x0iknqg6hms3ypyt,21.640909139,95.07000000000005,75,,,,false,5.59,39.77,true,Jr.
2017,REG,fastest_sacks,1,2017121703,57448,3173,3173,(5:05) (Shotgun) T.Yates sacked at HST 11 for -3 yards (C.Campbell).,2,play_type_sack,3,3,20,2120,05:05,HOU 14,14,HOU,24,2017-12-17T20:26:11.000Z,false,false,false,false,false,38,7,right,APPROVED,38,7,false,true,Calais Campbell,Calais,Campbell,C.Campbell,00-0026190,CAM208843,2250,JAX,93,DE,DL,15,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ekkaync0yveo2cwxlljr,,,,2.029,4.247722222222223,4.566287878787878,false,20.21,43.73,true,
