season,season_type,category,rank,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_health_player_tracking_is_ok,play_health_ball_tracking_is_ok,leader_player_name,leader_first_name,leader_last_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_max_speed,leader_in_play_dist,leader_yards,leader_season_avg,leader_team_avg,leader_time,play_is_goal_to_go,leader_suffix,play_actual_yards_to_go,play_actual_yardline_for_first_down,leader_short_name
2016,REG,highest_separation,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,REG,highest_separation,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,REG,highest_separation,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,REG,longest_completions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,REG,longest_completions,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,REG,longest_completions,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,REG,longest_completions,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,REG,longest_completions,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,REG,rush_yards_over_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,REG,rush_yards_over_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,REG,rush_yards_over_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,REG,rush_yards_over_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,REG,rush_yards_over_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
