season,season_type,category,rank,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_goal_to_go,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_start_game_clock,play_end_game_clock,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_health_player_tracking_is_ok,play_health_ball_tracking_is_ok,leader_player_name,leader_first_name,leader_last_name,leader_short_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_max_speed,leader_in_play_dist,leader_yards,leader_time,leader_season_avg,leader_team_avg,play_actual_yards_to_go,play_actual_yardline_for_first_down,leader_suffix
2019,REG,fastest_sacks,2,2019110303,58025,4152,4152,"(3:27) (Shotgun) M.Moore sacked at MIN 33 for -11 yards (H.Smith). FUMBLES (H.Smith) [H.Smith], and recovers at MIN 36. M.Moore to MIN 36 for no gain (E.Griffen).",2,play_type_sack,4,3,13,2310,03:27,MIN 22,22,MIN,88,2019-11-03T20:55:03.000Z,false,false,false,false,false,false,20,23,3:27,3:24,right,APPROVED,20,23,false,true,true,Harrison Smith,Harrison,Smith,H.Smith,00-0029606,SMI317465,3000,MIN,22,FS,DB,9,https://static.www.nfl.com/image/upload/{formatInstructions}/league/kadw1bk0cxsarjrwbdrq,,,,1.969,1.969,4.604288461538461,13.47,101.05,
2019,REG,fastest_sacks,3,2019111704,58053,678,678,(4:23) R.Fitzpatrick sacked at MIA 20 for -5 yards (E.Oliver).,2,play_type_sack,1,1,10,2700,04:23,MIA 25,25,MIA,35,2019-11-17T18:27:47.000Z,false,false,false,false,false,false,0,6,4:23,4:22,right,APPROVED,0,6,false,true,true,Ed Oliver,Ed,Oliver,E.Oliver,00-0035230,OLI290385,0610,BUF,91,DT,DL,11,https://static.www.nfl.com/image/upload/{formatInstructions}/league/wqmheiax6xnk7pvcdzav,,,,2.035,4.5216,4.4491249999999996,10.0,44.69,
2019,REG,fastest_sacks,4,2019101300,57979,1610,1610,"(2:00) J.Winston sacked at CAR 18 for -6 yards (V.Butler). FUMBLES (V.Butler), touched at CAR 18, recovered by TB-R.Jensen at CAR 21. R.Jensen to CAR 21 for no gain (E.Obada).",2,play_type_sack,2,1,10,4900,02:00,CAR 12,12,CAR,22,2019-10-13T14:47:27.000Z,false,false,false,false,false,false,7,17,2:00,1:56,left,APPROVED,7,17,false,true,true,Vernon Butler,Vernon,Butler,V.Butler,00-0032967,BUT599965,0750,CAR,92,DT,DL,6,https://static.www.nfl.com/image/private/{formatInstructions}/league/spxzurteytkysxgspmze,,,,2.069,4.0275,4.801534482758619,10.0,12.36,Jr.
2019,REG,fastest_sacks,5,2019111008,58044,1144,1144,"(10:39) (Shotgun) B.Hoyer sacked at MIA 37 for -9 yards (J.Baker). FUMBLES (J.Baker) [J.Baker], recovered by IND-M.Mack at MIA 41.",2,play_type_sack,2,2,13,2200,10:39,MIA 28,28,MIA,38,2019-11-10T21:48:33.000Z,false,false,false,false,false,false,0,3,10:40,10:34,left,APPROVED,0,3,false,true,true,Jerome Baker,Jerome,Baker,J.Baker,00-0034797,BAK235897,2700,MIA,55,LB,LB,10,https://static.www.nfl.com/image/upload/{formatInstructions}/league/wdo4k5bdufnhhu8izyj4,,,,2.15,4.562,5.155222222222221,13.68,25.1,
2019,REG,highest_separation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,highest_separation,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,highest_separation,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,highest_separation,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,highest_separation,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,longest_completions,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,longest_completions,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,longest_completions,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,longest_completions,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,longest_completions,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,rush_yards_over_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,rush_yards_over_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,rush_yards_over_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,rush_yards_over_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,REG,rush_yards_over_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
