season,season_type,week,game_id,game_key,game_date,home_team_id,home_team_abbr,visitor_team_id,visitor_team_abbr,category,side,esb_id,team_id,player_name,short_name,headshot,position,jersey_number,max_speed,gsis_play_id,tackle_info_time_to_tackle,pass_info_air_distance
2026,PRE,1,2026081355,60455,08/13/2026,2520,LV,3800,AZ,pass_distance_leaders,home,MEN516487,2520,Fernando Mendoza,F.Mendoza,https://static.www.nfl.com/image/upload/{formatInstructions}/league/umygvel2pumkyvxt3jm9,QB,15,,765,,29.444926557897883
2026,PRE,1,2026081355,60455,08/13/2026,2520,LV,3800,AZ,pass_distance_leaders,visitor,SLO748677,3800,Kedon Slovis,K.Slovis,https://static.www.nfl.com/image/upload/{formatInstructions}/league/hkvrcpwl9tm41jr3b0x3,QB,12,,2459,,37.929872132660826
2026,PRE,1,2026081355,60455,08/13/2026,2520,LV,3800,AZ,speed_leaders,home,WAS797326,2520,Mike Washington Jr.,M.Washington,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ocdjq5ohmtgdghqdh5m4,RB,30,20.2704545905,1354,,
2026,PRE,1,2026081355,60455,08/13/2026,2520,LV,3800,AZ,speed_leaders,visitor,WIL752419,3800,Michael Wilson,M.Wilson,https://static.www.nfl.com/image/upload/{formatInstructions}/league/hm2b9z4zujjmbiyldh8n,WR,14,19.922727317,362,,
2026,PRE,1,2026081355,60455,08/13/2026,2520,LV,3800,AZ,time_to_sack_leaders,home,SLO356330,2520,Cian Slone,C.Slone,https://static.www.nfl.com/image/upload/{formatInstructions}/league/t27ear9faclf1tdibwj9,OLB,48,,2947,3.627,
2026,PRE,1,2026081355,60455,08/13/2026,2520,LV,3800,AZ,time_to_sack_leaders,visitor,NOL552942,3800,Walter Nolen,W.Nolen,https://static.www.nfl.com/image/upload/{formatInstructions}/league/jr8karjanloyyas4erxt,DT,97,,1492,5.325,
2026,PRE,1,2026081356,60456,08/13/2026,4500,SF,2100,TEN,pass_distance_leaders,home,ROU266938,4500,Kurtis Rourke,K.Rourke,https://static.www.nfl.com/image/upload/{formatInstructions}/league/rq4swf5c2ar45ljuc0w2,QB,14,,1077,,41.80189589001915
2026,PRE,1,2026081356,60456,08/13/2026,4500,SF,2100,TEN,pass_distance_leaders,visitor,TRU215336,2100,Mitchell Trubisky,M.Trubisky,https://static.www.nfl.com/image/upload/{formatInstructions}/league/yxs7ix2pmcfv5k1qn1sk,QB,10,,1855,,28.78503951708248
2026,PRE,1,2026081356,60456,08/13/2026,4500,SF,2100,TEN,speed_leaders,home,MAR776119,4500,Adrian Martinez,A.Martinez,https://static.www.nfl.com/image/upload/{formatInstructions}/league/w0ehlpfwk70tqpswllwv,QB,4,19.309090952,4160,,
2026,PRE,1,2026081356,60456,08/13/2026,4500,SF,2100,TEN,speed_leaders,visitor,CHE603251,2100,Julius Chestnut,J.Chestnut,https://static.www.nfl.com/image/upload/{formatInstructions}/league/bkhv6hpjogvs5b31wwrs,RB,36,18.8795454965,3905,,
2026,PRE,1,2026081356,60456,08/13/2026,4500,SF,2100,TEN,time_to_sack_leaders,home,WOR688452,4500,Larry Worth,L.Worth,https://static.www.nfl.com/image/upload/{formatInstructions}/league/dh5rnvlxzwcsxfua2ekp,SS,47,,3633,3.838,
2026,PRE,1,2026081356,60456,08/13/2026,4500,SF,2100,TEN,time_to_sack_leaders,visitor,HOR341124,2100,Timmy Horne,T.Horne,https://static.www.nfl.com/image/upload/{formatInstructions}/league/vuyddfbh4sapogzrxyqv,DT,94,,3298,4.84,
2026,PRE,1,2026081451,60457,08/14/2026,0200,ATL,1400,DEN,pass_distance_leaders,home,RUS046607,0200,Cooper Rush,C.Rush,https://static.www.nfl.com/image/upload/{formatInstructions}/league/mwrtykpswz7nbfisqlmj,QB,13,,2326,,33.25599194130285
2026,PRE,1,2026081451,60457,08/14/2026,0200,ATL,1400,DEN,pass_distance_leaders,visitor,STI129837,1400,Jarrett Stidham,J.Stidham,https://static.www.nfl.com/image/upload/{formatInstructions}/league/uzdn86skeienyyqxyiuw,QB,8,,159,,47.14072973554821
2026,PRE,1,2026081451,60457,08/14/2026,0200,ATL,1400,DEN,speed_leaders,home,JON150008,0200,Cash Jones,C.Jones,https://static.www.nfl.com/image/upload/{formatInstructions}/league/w8owngxypixljzcnwyiv,RB,32,18.531818223000002,4182,,
2026,PRE,1,2026081451,60457,08/14/2026,0200,ATL,1400,DEN,speed_leaders,visitor,SCH489290,1400,Cody Schrader,C.Schrader,https://static.www.nfl.com/image/upload/{formatInstructions}/league/snrwsjepuvkatdjjokp8,RB,25,23.2568182335,3324,,
2026,PRE,1,2026081451,60457,08/14/2026,0200,ATL,1400,DEN,time_to_sack_leaders,home,DAN573886,0200,Kendal Daniels,K.Daniels,https://static.www.nfl.com/image/upload/{formatInstructions}/league/y0dplhsrdng9momqwilu,ILB,53,,1070,3.238,
2026,PRE,1,2026081451,60457,08/14/2026,0200,ATL,1400,DEN,time_to_sack_leaders,visitor,SAN290589,1400,Drew Sanders,D.Sanders,https://static.www.nfl.com/image/upload/{formatInstructions}/league/x8qb06rtfpalcci5pyfx,OLB,41,,3779,6.375,
2026,PRE,1,2026081452,60458,08/14/2026,3430,NYJ,4900,TB,pass_distance_leaders,home,COO012674,3430,Brady Cook,B.Cook,https://static.www.nfl.com/image/upload/{formatInstructions}/league/sk8u7zzg7e3t4vu7xesg,QB,4,,3811,,29.031598302539248
2026,PRE,1,2026081452,60458,08/14/2026,3430,NYJ,4900,TB,pass_distance_leaders,visitor,DAN558971,4900,Jalon Daniels,J.Daniels,https://static.www.nfl.com/image/upload/{formatInstructions}/league/hwhfl6i5drktwjvslfpn,QB,10,,2380,,29.780344188743015
2026,PRE,1,2026081452,60458,08/14/2026,3430,NYJ,4900,TB,speed_leaders,home,ALL063734,3430,Braelon Allen,B.Allen,https://static.www.nfl.com/image/upload/{formatInstructions}/league/fmpzgmfjmcbrv1gmqbdn,RB,0,19.431818225,805,,
2026,PRE,1,2026081452,60458,08/14/2026,3430,NYJ,4900,TB,speed_leaders,visitor,GAR331538,4900,Ayden Garnes,A.Garnes,https://static.www.nfl.com/image/upload/{formatInstructions}/league/qlpjgp4neoxtnxkkaxek,CB,24,20.0250000445,1300,,
2026,PRE,1,2026081452,60458,08/14/2026,3430,NYJ,4900,TB,time_to_sack_leaders,home,MCD599665,3430,Will McDonald IV,W.McDonald,https://static.www.nfl.com/image/private/{formatInstructions}/league/nw8aiicw9bjhxaqwbeo9,OLB,9,,107,4.361,
2026,PRE,1,2026081452,60458,08/14/2026,3430,NYJ,4900,TB,time_to_sack_leaders,visitor,PYB207645,4900,Jack Pyburn,J.Pyburn,https://static.www.nfl.com/image/upload/{formatInstructions}/league/z9fvkrqzww2zmzwibvn9,DE,58,,3858,3.403,
2026,PRE,1,2026081453,60459,08/14/2026,5110,WAS,2700,MIA,pass_distance_leaders,home,MAR186347,5110,Marcus Mariota,M.Mariota,https://static.www.nfl.com/image/upload/{formatInstructions}/league/grx6m1fmu1odltjo3y31,QB,8,,553,,35.69976190396793
2026,PRE,1,2026081453,60459,08/14/2026,5110,WAS,2700,MIA,pass_distance_leaders,visitor,WIL614428,2700,Malik Willis,M.Willis,https://static.www.nfl.com/image/upload/{formatInstructions}/league/txvgdbwbryzyyqq6gfet,QB,2,,242,,37.35088218503011
2026,PRE,1,2026081453,60459,08/14/2026,5110,WAS,2700,MIA,speed_leaders,home,HEN713719,5110,Robert Henry Jr.,R.Henry,https://static.www.nfl.com/image/upload/{formatInstructions}/league/aehybugrdkpwoegwc10v,RB,30,19.4931818615,1607,,
2026,PRE,1,2026081453,60459,08/14/2026,5110,WAS,2700,MIA,speed_leaders,visitor,EWE415291,2700,Quinn Ewers,Q.Ewers,https://static.www.nfl.com/image/upload/{formatInstructions}/league/bbcwyjuhyijtqe7jo274,QB,14,18.450000041,1364,,
